lat,lon,alt,date,device,os,version
53.5683822632,-1.787789464,178.33883667,2013-01-05 18:59:12,"iPhone3,1",6.0.1,1.1
53.5724983215,-1.78448462486,159.810394287,2013-01-07 19:50:24,"iPhone3,1",6.0.1,1.1
53.5686759949,-1.78910076618,169.028442383,2013-01-07 19:58:56,"iPhone3,1",6.0.1,1.1
53.5614433289,-1.81276917458,153.422470093,2013-01-09 16:02:08,"iPhone3,1",6.0.1,1.1
53.570148468,-1.78826999664,230.554290771,2013-01-09 16:12:48,"iPhone3,1",6.0.1,1.1
53.5810050964,-1.77245366573,170.227142334,2013-01-09 16:27:44,"iPhone3,1",6.0.1,1.1
53.5535812378,-1.66560065746,158.727416992,2013-01-09 16:38:24,"iPhone3,1",6.0.1,1.1
53.5691795349,-1.61966657639,151.896362305,2013-01-09 16:51:12,"iPhone3,1",6.0.1,1.1
53.5998535156,-1.45357882977,77.5213394165,2013-01-09 16:57:36,"iPhone3,1",6.0.1,1.1
53.6370124817,-1.38173079491,62.3269500732,2013-01-09 17:14:40,"iPhone3,1",6.0.1,1.1
53.6675949097,-1.28912556171,47.1592979431,2013-01-09 17:27:28,"iPhone3,1",6.0.1,1.1
53.6754455566,-1.31041300297,45.9296646118,2013-01-09 17:42:24,"iPhone3,1",6.0.1,1.1
53.6370429993,-1.36053025723,50.8615188599,2013-01-10 11:14:08,"iPhone3,1",6.0.1,1.1
53.6241493225,-1.40380191803,79.5546417236,2013-01-10 11:22:40,"iPhone3,1",6.0.1,1.1
53.6008605957,-1.44712138176,74.3528518677,2013-01-10 11:29:04,"iPhone3,1",6.0.1,1.1
53.5874252319,-1.48898041248,88.925201416,2013-01-10 11:35:28,"iPhone3,1",6.0.1,1.1
53.5704269409,-1.53043973446,98.3168029785,2013-01-10 11:44:00,"iPhone3,1",6.0.1,1.1
53.5769729614,-1.74861705303,104.342063904,2013-01-10 12:03:12,"iPhone3,1",6.0.1,1.1
53.568561554,-1.78812253475,175.988723755,2013-01-10 12:22:24,"iPhone3,1",6.0.1,1.1
53.5416030884,-2.0008854866,177.09588623,2013-01-11 13:07:12,"iPhone3,1",6.0.1,1.1
53.4863014221,-2.0564558506,156.464675903,2013-01-11 13:20:00,"iPhone3,1",6.0.1,1.1
53.4872322083,-2.08850336075,110.212081909,2013-01-11 13:32:48,"iPhone3,1",6.0.1,1.1
53.4796180725,-2.12400817871,103.683151245,2013-01-11 13:45:36,"iPhone3,1",6.0.1,1.1
53.4761199951,-2.22861671448,66.8463287354,2013-01-11 13:58:24,"iPhone3,1",6.0.1,1.1
53.4655914307,-2.24075388908,47.5893859863,2013-01-11 14:04:48,"iPhone3,1",6.0.1,1.1
53.4616394043,-2.23695802689,34.4601783752,2013-01-11 15:53:36,"iPhone3,1",6.0.1,1.1
53.4404335022,-2.24404287338,43,2013-01-11 16:02:08,"iPhone3,1",6.0.1,1.1
53.4195632935,-2.26032066345,32.2374000549,2013-01-11 16:06:24,"iPhone3,1",6.0.1,1.1
53.3631210327,-2.29563713074,63.7553215027,2013-01-11 16:10:40,"iPhone3,1",6.0.1,1.1
53.3360061646,-2.25601506233,64.6265411377,2013-01-11 16:17:04,"iPhone3,1",6.0.1,1.1
53.3305702209,-2.2485909462,53.4306221008,2013-01-11 16:29:52,"iPhone3,1",6.0.1,1.1
